,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
628,4.2,.574,7.3,0.0,.000,0.0,0.6,28,1.8,6.3,4.2,.573,7.3,2.0,.562,3.6,72,72,NBA,31.8,3.2,3.2,Emeka Okafor ,10.3,C,0.6,1.7,9.5,NOH,.573
629,4.2,.533,7.9,0.0,,0.0,0.9,29,1.0,5.3,4.2,.533,7.9,1.4,.514,2.7,27,27,NBA,28.9,2.6,2.7,Emeka Okafor ,9.9,C,0.6,1.4,7.9,NOH,.533
630,4.2,.477,8.7,0.0,,0.0,1.2,30,1.0,6.2,4.2,.477,8.7,1.4,.571,2.4,79,77,NBA,26.0,2.5,1.8,Emeka Okafor ,9.7,C,0.6,1.4,8.8,WAS,.477
631,1.2,.467,2.5,0.0,,0.0,0.1,25,1.3,2.3,1.2,.467,2.5,1.2,.592,2.0,24,1,NBA,20.8,1.6,2.3,Joel Anthony ,3.5,PF,0.4,0.7,3.9,MIA,.467
632,0.9,.483,1.8,0.0,,0.0,0.4,26,1.4,1.7,0.9,.483,1.8,0.5,.652,0.7,65,28,NBA,16.1,1.4,2.1,Joel Anthony ,2.2,C,0.3,0.6,3.0,MIA,.483
633,1.0,.478,2.0,0.0,,0.0,0.2,27,1.4,1.6,1.0,.478,2.0,0.8,.717,1.2,80,16,NBA,16.5,1.5,2.0,Joel Anthony ,2.7,C,0.3,0.6,3.1,MIA,.478
634,0.7,.535,1.3,0.0,,0.0,0.3,28,1.2,2.2,0.7,.535,1.3,0.6,.644,1.0,75,11,NBA,19.5,1.4,2.6,Joel Anthony ,2.0,C,0.1,0.5,3.5,MIA,.535
635,1.3,.559,2.4,0.0,,0.0,0.1,29,1.3,2.3,1.3,.559,2.4,0.8,.690,1.1,64,51,NBA,21.1,1.6,2.0,Joel Anthony ,3.4,C,0.6,0.7,3.9,MIA,.559
636,0.6,.515,1.1,0.0,,0.0,0.2,30,0.7,1.1,0.6,.515,1.1,0.3,.607,0.5,62,3,NBA,9.1,0.7,0.8,Joel Anthony ,1.4,C,0.2,0.4,1.9,MIA,.515
637,0.4,.375,1.0,0.0,,0.0,0.1,31,0.4,0.7,0.4,.375,1.0,0.1,.500,0.2,33,0,NBA,5.6,0.5,0.5,Joel Anthony ,0.8,C,0.1,0.1,1.2,TOT,.375
638,0.2,.333,0.5,0.0,,0.0,0.0,31,0.3,0.4,0.2,.333,0.5,0.2,1.000,0.2,12,0,NBA,3.1,0.2,0.3,Joel Anthony ,0.5,C,0.0,0.1,0.6,MIA,.333
