,Unnamed: 0,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
610,610,1.2,0.436,2.9,0.7,0.40399999999999997,1.8,1.0,22,0.2,1.9,2.0,0.424,4.7,0.9,0.8109999999999999,1.1,49,24.0,NBA,14.8,0.3,1.2,Norman Powell ,5.6,SG,0.6,0.7,2.3,TOR,0.502
611,611,2.3,0.514,4.4,0.7,0.324,2.3,1.1,23,0.2,1.9,3.0,0.449,6.7,1.7,0.792,2.1,76,18.0,NBA,18.0,0.3,1.7,Norman Powell ,8.4,SG,0.7,0.9,2.2,TOR,0.504
612,612,2.3,0.507,4.5,1.3,0.35200000000000004,3.6,2.0,24,0.4,1.7,3.5,0.43799999999999994,8.1,1.2,0.7829999999999999,1.5,15,12.0,NBA,23.3,0.3,2.3,Norman Powell ,9.5,SG,1.3,1.4,1.9,TOR,0.517
613,613,0.2,0.28600000000000003,0.8,0.1,0.23800000000000002,0.6,0.3,23,0.0,0.6,0.4,0.265,1.4,0.1,1.0,0.1,34,0.0,NBA,4.2,0.3,0.2,Pat Connaughton ,1.1,SG,0.1,0.3,0.9,POR,0.316
614,614,0.5,0.513,1.0,0.4,0.515,0.8,0.7,24,0.1,1.1,0.9,0.514,1.8,0.2,0.778,0.2,39,1.0,NBA,8.1,0.3,0.6,Pat Connaughton ,2.5,SG,0.2,0.4,1.3,POR,0.632
615,615,0.9,0.45899999999999996,1.9,1.2,0.436,2.8,1.2,25,0.3,2.1,2.1,0.446,4.6,0.7,0.929,0.7,20,2.0,NBA,19.1,0.1,1.2,Pat Connaughton ,6.0,SG,0.2,0.7,2.2,POR,0.5760000000000001
616,616,1.2,0.405,2.9,0.9,0.3,3.1,2.0,32,0.4,1.6,2.1,0.35100000000000003,6.0,0.8,0.8240000000000001,0.9,81,8.0,NBA,20.3,0.3,1.6,Randy Foye ,5.9,SG,0.5,1.1,1.9,TOT,0.428
617,617,1.2,0.409,3.0,0.9,0.29600000000000004,3.1,2.1,32,0.3,1.6,2.2,0.35100000000000003,6.2,0.7,0.83,0.9,54,7.0,NBA,19.8,0.3,1.5,Randy Foye ,6.0,SG,0.5,1.1,1.9,DEN,0.426
618,618,1.0,0.397,2.5,0.9,0.309,3.0,1.8,32,0.5,1.6,1.9,0.349,5.5,0.8,0.815,1.0,27,1.0,NBA,21.2,0.3,1.8,Randy Foye ,5.6,SG,0.5,1.0,1.9,OKC,0.433
621,621,2.1,0.474,4.5,0.0,,0.0,0.2,20,0.4,2.9,2.1,0.474,4.5,0.9,0.7140000000000001,1.2,17,0.0,NBA,11.7,1.4,1.0,Cheick Diallo ,5.1,PF,0.2,0.4,4.3,NOP,0.474
622,622,1.4,0.563,2.5,0.0,,0.0,0.2,21,0.1,1.8,1.4,0.563,2.5,0.2,0.5,0.5,13,0.0,NBA,8.2,0.6,1.5,Cheick Diallo ,3.0,PF,0.0,0.5,2.5,NOP,0.563
624,624,1.3,0.40399999999999997,3.2,0.2,0.318,0.5,1.4,21,0.2,0.9,1.5,0.392,3.8,0.8,0.7140000000000001,1.2,42,0.0,NBA,9.2,0.1,0.9,Kay Felder ,4.0,PG,0.4,0.7,1.0,CLE,0.415
625,625,1.3,0.326,3.8,0.3,0.235,1.4,1.7,22,0.1,0.8,1.6,0.302,5.3,0.8,0.9,0.8,12,0.0,NBA,10.5,0.1,0.9,Kay Felder ,4.3,PG,0.2,1.3,0.9,CHI,0.33299999999999996
627,627,0.4,0.5,0.9,0.5,0.305,1.8,0.9,23,0.1,1.3,1.0,0.369,2.6,0.3,0.773,0.4,54,2.0,NBA,9.6,0.5,0.8,Nicolas Brussino ,2.8,SF,0.3,0.5,1.8,DAL,0.47200000000000003
628,628,0.0,,0.0,0.0,0.0,0.5,0.0,24,0.0,0.8,0.0,0.0,0.5,0.0,,0.0,4,0.0,NBA,2.5,0.0,0.0,Nicolas Brussino ,0.0,SF,0.0,0.0,0.8,ATL,0.0
629,629,0.8,0.479,1.8,0.7,0.293,2.4,0.8,23,0.3,2.1,1.5,0.37200000000000005,4.1,0.6,0.754,0.8,81,35.0,NBA,20.3,0.7,1.5,Dorian FinneySmith ,4.3,PF,0.6,0.6,2.7,DAL,0.456
630,630,0.6,0.625,1.0,0.6,0.35700000000000004,1.8,0.6,24,0.1,0.6,1.3,0.455,2.8,0.1,0.5,0.3,8,1.0,NBA,11.8,0.6,1.6,Dorian FinneySmith ,3.3,PF,0.0,0.9,1.3,DAL,0.568
631,631,0.8,0.316,2.4,1.0,0.40299999999999997,2.6,1.8,22,0.0,1.6,1.8,0.361,5.0,0.6,0.8240000000000001,0.7,24,0.0,NBA,14.3,0.3,1.0,Damian Jones ,5.2,PG,0.5,0.7,1.8,TOT,0.466
632,632,0.4,0.267,1.4,0.9,0.345,2.6,1.2,22,0.0,1.0,1.3,0.318,4.0,1.0,0.846,1.2,11,0.0,NBA,11.9,0.2,0.6,Damian Jones ,4.5,PG,0.6,0.5,1.2,NJN,0.43200000000000005
633,633,1.1,0.33299999999999996,3.2,1.2,0.455,2.5,2.2,22,0.0,2.1,2.2,0.387,5.8,0.2,0.75,0.3,13,0.0,NBA,16.4,0.3,1.2,Damian Jones ,5.8,PG,0.5,0.9,2.4,BOS,0.48700000000000004
634,634,0.7,0.415,1.7,0.7,0.36,2.1,1.7,23,0.0,0.8,1.5,0.385,3.8,0.6,0.667,0.9,55,1.0,NBA,11.1,0.2,0.6,Damian Jones ,4.2,PG,0.3,0.7,1.0,TOT,0.483
635,635,1.1,0.452,2.4,0.8,0.478,1.8,3.0,23,0.0,1.2,1.9,0.46299999999999997,4.2,0.5,0.778,0.7,13,1.0,NBA,15.1,0.0,1.0,Damian Jones ,5.2,PG,0.5,1.2,1.2,GSW,0.565
636,636,0.6,0.397,1.5,0.7,0.33,2.2,1.4,23,0.0,0.6,1.3,0.35700000000000004,3.7,0.6,0.6409999999999999,0.9,42,0.0,NBA,9.9,0.3,0.5,Damian Jones ,3.9,PG,0.3,0.6,0.9,DAL,0.455
637,637,1.2,0.465,2.6,1.2,0.364,3.3,3.2,24,0.0,1.5,2.4,0.409,5.9,0.5,0.7120000000000001,0.7,71,10.0,NBA,19.9,0.2,0.8,Damian Jones ,6.5,PG,0.5,1.1,1.7,VAN,0.51
638,638,0.7,0.45899999999999996,1.5,1.0,0.371,2.8,2.1,25,0.0,1.3,1.7,0.401,4.2,0.6,0.7290000000000001,0.9,67,0.0,NBA,16.2,0.2,1.2,Damian Jones ,5.1,PG,0.3,0.9,1.5,DET,0.523
639,639,0.7,0.40399999999999997,1.8,0.9,0.364,2.5,1.6,26,0.1,1.2,1.6,0.381,4.3,0.4,0.741,0.6,49,1.0,NBA,14.5,0.2,0.9,Damian Jones ,4.6,PG,0.4,0.5,1.4,SAC,0.486
640,640,1.4,0.446,3.1,1.2,0.359,3.3,5.8,27,0.0,1.9,2.6,0.401,6.4,0.7,0.764,0.9,82,26.0,NBA,24.6,0.2,1.1,Damian Jones ,7.0,PG,0.4,1.3,2.1,MIL,0.494
641,641,1.3,0.517,2.5,2.7,0.43200000000000005,6.4,4.3,28,0.1,2.6,4.0,0.456,8.9,0.8,0.7909999999999999,1.0,82,66.0,NBA,31.4,0.2,1.5,Damian Jones ,11.6,PG,0.5,1.2,2.8,MIA,0.611
642,642,0.6,0.41700000000000004,1.5,1.7,0.377,4.5,2.1,29,0.0,1.5,2.3,0.387,6.0,0.4,0.64,0.6,82,7.0,NBA,25.5,0.2,1.4,Damian Jones ,6.7,PG,0.5,0.7,1.6,CLE,0.53
643,643,0.8,0.387,2.1,1.5,0.385,3.9,1.6,30,0.0,1.0,2.3,0.386,5.9,0.5,0.682,0.7,60,0.0,NBA,19.6,0.2,0.9,Damian Jones ,6.6,PG,0.3,0.6,1.1,CLE,0.511
644,644,0.5,0.414,1.3,1.7,0.41700000000000004,4.1,1.9,31,0.0,1.0,2.3,0.41600000000000004,5.4,0.3,0.7140000000000001,0.4,67,3.0,NBA,19.9,0.1,1.0,Damian Jones ,6.5,SG,0.3,0.5,1.1,CLE,0.574
645,645,0.0,0.0,0.3,0.6,0.39299999999999996,1.6,0.4,32,0.0,0.3,0.6,0.324,1.9,0.0,,0.0,18,0.0,NBA,6.0,0.0,0.2,Damian Jones ,1.8,PG,0.2,0.3,0.3,MIL,0.485
648,648,1.4,0.636,2.3,0.0,0.0,0.0,0.3,29,1.1,2.4,1.4,0.628,2.3,0.8,0.5870000000000001,1.4,34,6.0,NBA,11.7,1.2,1.6,Salah Mejri ,3.7,C,0.2,0.7,3.6,DAL,0.628
649,649,1.2,0.649,1.8,0.0,0.33299999999999996,0.0,0.2,30,0.8,2.9,1.2,0.642,1.9,0.5,0.59,0.8,73,11.0,NBA,12.4,1.3,2.1,Salah Mejri ,2.9,C,0.4,0.5,4.2,DAL,0.6459999999999999
650,650,1.4,0.759,1.8,0.0,0.0,0.1,0.5,31,1.6,3.2,1.4,0.71,1.9,0.7,0.524,1.3,16,1.0,NBA,12.4,1.7,1.9,Salah Mejri ,3.4,C,0.4,0.6,4.9,DAL,0.71
658,658,6.1,0.447,13.7,0.0,0.0,0.0,0.9,22,1.7,7.1,6.1,0.447,13.7,2.9,0.609,4.7,73,73.0,NBA,35.6,3.8,2.9,Emeka Okafor ,15.1,PF,0.8,1.7,10.9,CHA,0.447
659,659,5.0,0.415,12.2,0.0,,0.0,1.2,23,1.9,6.4,5.0,0.415,12.2,3.2,0.6559999999999999,4.8,26,25.0,NBA,33.6,3.6,3.4,Emeka Okafor ,13.2,PF,0.8,2.0,10.0,CHA,0.415
660,660,5.9,0.532,11.0,0.0,,0.0,1.2,24,2.6,7.4,5.9,0.532,11.0,2.6,0.593,4.4,67,65.0,NBA,34.8,3.9,3.1,Emeka Okafor ,14.4,C,0.9,1.7,11.3,CHA,0.532
661,661,5.6,0.535,10.5,0.0,,0.0,0.9,25,1.7,7.6,5.6,0.535,10.5,2.6,0.57,4.6,82,82.0,NBA,33.1,3.1,2.9,Emeka Okafor ,13.8,C,0.8,2.0,10.7,CHA,0.535
662,662,5.3,0.561,9.4,0.0,,0.0,0.6,26,1.7,6.7,5.3,0.561,9.4,2.7,0.593,4.5,82,81.0,NBA,32.8,3.4,3.0,Emeka Okafor ,13.2,C,0.6,1.8,10.1,CHA,0.561
663,663,4.2,0.53,8.0,0.0,,0.0,0.7,27,1.5,6.0,4.2,0.53,8.0,1.9,0.562,3.3,82,82.0,NBA,28.9,3.1,2.7,Emeka Okafor ,10.4,C,0.7,1.4,9.0,NOH,0.53
664,664,4.2,0.574,7.3,0.0,0.0,0.0,0.6,28,1.8,6.3,4.2,0.573,7.3,2.0,0.562,3.6,72,72.0,NBA,31.8,3.2,3.2,Emeka Okafor ,10.3,C,0.6,1.7,9.5,NOH,0.573
665,665,4.2,0.5329999999999999,7.9,0.0,,0.0,0.9,29,1.0,5.3,4.2,0.5329999999999999,7.9,1.4,0.514,2.7,27,27.0,NBA,28.9,2.6,2.7,Emeka Okafor ,9.9,C,0.6,1.4,7.9,NOH,0.5329999999999999
666,666,4.2,0.47700000000000004,8.7,0.0,,0.0,1.2,30,1.0,6.2,4.2,0.47700000000000004,8.7,1.4,0.5710000000000001,2.4,79,77.0,NBA,26.0,2.5,1.8,Emeka Okafor ,9.7,C,0.6,1.4,8.8,WAS,0.47700000000000004
679,679,,,,,,,0.6,22,,,1.6,0.35600000000000004,4.5,1.7,0.68,2.5,20,,NBA,14.0,,2.7,Jeff Green ,4.9,SG,,,3.6,PHI,
680,680,,,,,,,0.0,23,,,1.6,0.615,2.6,1.6,1.0,1.6,5,,NBA,9.8,,2.4,Jeff Green ,4.8,SG,,,2.2,PHI,
681,681,0.9,0.5,1.7,0.5,0.313,1.6,2.1,35,0.0,1.4,1.3,0.41,3.3,0.3,0.917,0.3,41,13.0,NBA,13.1,0.4,0.9,Jose Calderon ,3.4,PG,0.3,1.0,1.8,TOT,0.485
682,682,0.8,0.465,1.8,0.5,0.353,1.4,2.1,35,0.0,1.4,1.3,0.41600000000000004,3.2,0.2,1.0,0.2,24,11.0,NBA,12.2,0.3,0.9,Jose Calderon ,3.3,PG,0.3,1.1,1.8,LAL,0.494
683,683,0.9,0.556,1.6,0.5,0.267,1.8,2.2,35,0.0,1.5,1.4,0.40399999999999997,3.4,0.4,0.875,0.5,17,2.0,NBA,14.5,0.4,0.8,Jose Calderon ,3.6,PG,0.2,0.9,1.9,ATL,0.474
686,686,0.8,0.429,1.8,1.0,0.308,3.3,1.0,25,0.0,1.3,1.8,0.35,5.0,1.0,1.0,1.0,4,0.0,NBA,18.0,0.3,0.8,Sean Kilpatrick ,5.5,SG,0.8,0.5,1.5,MIN,0.45
687,687,2.7,0.5379999999999999,5.0,1.3,0.342,3.7,0.9,26,0.1,1.4,4.0,0.456,8.7,1.9,0.8959999999999999,2.2,31,0.0,NBA,19.9,0.4,1.2,Sean Kilpatrick ,11.1,SG,0.4,1.0,1.8,TOT,0.528
688,688,0.5,1.0,0.5,0.5,0.235,2.1,0.4,26,0.0,0.5,1.0,0.381,2.6,0.9,0.875,1.0,8,0.0,NBA,10.3,0.3,0.9,Sean Kilpatrick ,3.4,SG,0.3,0.5,0.8,DEN,0.47600000000000003
689,689,3.5,0.526,6.6,1.5,0.361,4.2,1.1,26,0.1,1.7,5.0,0.462,10.8,2.3,0.898,2.6,23,0.0,NBA,23.2,0.4,1.3,Sean Kilpatrick ,13.8,SG,0.4,1.2,2.2,BRK,0.532
690,690,2.9,0.46799999999999997,6.1,1.5,0.341,4.4,2.2,27,0.1,3.7,4.4,0.415,10.5,2.9,0.843,3.5,70,24.0,NBA,25.1,0.3,1.7,Sean Kilpatrick ,13.1,SG,0.6,1.9,4.0,BRK,0.486
691,691,1.0,0.34299999999999997,2.9,0.5,0.24,2.1,0.9,28,0.0,1.9,1.5,0.3,5.0,0.8,0.909,0.9,12,0.0,NBA,9.8,0.0,0.3,Sean Kilpatrick ,4.3,SG,0.2,1.0,1.9,BRK,0.35
697,697,1.3,0.4,3.2,0.1,0.214,0.3,0.3,22,0.0,0.7,1.4,0.38299999999999995,3.5,1.0,0.6779999999999999,1.4,42,0.0,NBA,8.5,0.4,0.5,Dakari Johnson ,3.7,SG,0.2,0.7,1.1,POR,0.39299999999999996
698,698,1.0,0.321,3.1,0.0,0.0,0.1,0.2,23,0.0,0.4,1.0,0.315,3.2,0.8,0.619,1.2,17,0.0,NBA,7.0,0.5,0.4,Dakari Johnson ,2.8,SG,0.2,0.5,0.9,CHI,0.315
703,703,0.3,0.267,1.3,0.0,0.0,0.1,0.2,24,0.0,0.3,0.3,0.25,1.3,0.5,0.857,0.6,12,0.0,NBA,3.8,0.1,0.8,Damien Wilkins ,1.2,SF-PF,0.0,0.3,0.3,TOT,0.25
704,704,0.0,0.0,1.0,0.0,,0.0,0.0,24,0.0,0.5,0.0,0.0,1.0,0.0,,0.0,2,0.0,NBA,3.5,0.0,1.0,Damien Wilkins ,0.0,PF,0.0,0.0,0.5,DET,0.0
705,705,0.4,0.308,1.3,0.0,0.0,0.1,0.2,24,0.0,0.2,0.4,0.28600000000000003,1.4,0.6,0.857,0.7,10,0.0,NBA,3.8,0.1,0.8,Damien Wilkins ,1.4,SF,0.0,0.4,0.3,LAC,0.28600000000000003
708,708,1.2,0.479,2.4,0.8,0.308,2.7,0.5,31,0.0,0.4,2.0,0.389,5.1,0.7,0.919,0.8,49,7.0,NBA,14.6,0.2,0.9,Anthony Morrow ,5.5,SG,0.5,0.1,0.6,TOT,0.47
709,709,1.3,0.49,2.6,0.9,0.294,3.0,0.5,31,0.1,0.5,2.2,0.386,5.6,0.6,0.885,0.7,40,7.0,NBA,15.7,0.3,1.0,Anthony Morrow ,5.8,SG,0.6,0.2,0.7,OKC,0.46399999999999997
710,710,0.7,0.4,1.7,0.7,0.429,1.6,0.7,31,0.0,0.1,1.3,0.414,3.2,1.2,1.0,1.2,9,0.0,NBA,9.7,0.1,0.4,Anthony Morrow ,4.6,SG,0.2,0.0,0.2,CHI,0.517
712,712,3.6,0.493,7.3,0.2,0.23199999999999998,0.7,1.9,21,0.4,3.6,3.8,0.47,8.0,2.4,0.823,2.9,80,44.0,NBA,29.7,2.4,2.3,Josh Childress ,10.1,SG,0.9,1.3,6.0,ATL,0.48100000000000004
713,713,3.3,0.56,5.9,0.4,0.49200000000000005,0.9,1.8,22,0.5,3.4,3.8,0.552,6.8,2.1,0.7659999999999999,2.7,74,10.0,NBA,30.4,1.8,2.5,Josh Childress ,10.0,SF,1.2,1.4,5.2,ATL,0.583
714,714,4.3,0.5329999999999999,8.0,0.5,0.33799999999999997,1.4,2.3,23,0.7,3.9,4.7,0.504,9.4,3.0,0.795,3.8,55,13.0,NBA,36.8,2.2,2.1,Josh Childress ,13.0,SG,1.1,1.5,6.2,ATL,0.529
715,715,4.0,0.595,6.8,0.3,0.36700000000000005,0.8,1.5,24,0.6,2.6,4.3,0.5710000000000001,7.5,2.9,0.807,3.6,76,0.0,NBA,29.9,2.3,1.7,Josh Childress ,11.8,SF,0.9,1.3,4.9,ATL,0.59
716,716,2.2,0.606,3.7,0.0,0.063,0.3,0.8,27,0.4,1.6,2.2,0.565,4.0,0.5,0.49200000000000005,1.1,54,3.0,NBA,16.6,1.3,1.3,Josh Childress ,5.0,SG,0.6,0.8,2.9,PHO,0.568
717,717,1.3,0.5870000000000001,2.2,0.1,0.16699999999999998,0.7,1.0,28,0.2,1.9,1.4,0.485,2.9,0.0,0.0,0.1,34,0.0,NBA,14.4,0.9,1.1,Josh Childress ,2.9,SF,0.4,0.3,2.8,PHO,0.505
718,718,0.4,0.278,1.3,0.1,0.33299999999999996,0.2,0.4,29,0.1,0.6,0.4,0.28600000000000003,1.5,0.1,0.5,0.1,14,0.0,NBA,7.1,0.4,0.2,Josh Childress ,1.0,SF,0.1,0.0,1.1,BRK,0.31
719,719,0.0,,0.0,0.0,,0.0,0.5,30,0.0,0.8,0.0,,0.0,0.0,,0.0,4,0.0,NBA,6.0,0.0,0.3,Josh Childress ,0.0,SF,0.3,0.3,0.8,NOP,
721,721,1.7,0.512,3.4,0.4,0.349,1.2,1.0,28,0.1,2.4,2.1,0.47,4.6,0.5,0.586,0.8,36,2.0,NBA,17.9,0.8,1.4,Omri Casspi ,5.2,SF,0.6,0.8,3.1,TOT,0.515
722,722,1.9,0.47700000000000004,4.0,0.5,0.379,1.3,1.2,28,0.0,3.2,2.4,0.45299999999999996,5.3,0.5,0.5710000000000001,1.0,22,2.0,NBA,18.0,0.9,1.0,Omri Casspi ,5.9,SF,0.5,0.8,4.1,SAC,0.5
723,723,3.0,0.6,5.0,2.0,0.5,4.0,0.0,28,0.0,1.0,5.0,0.556,9.0,0.0,,0.0,1,0.0,NBA,24.0,1.0,3.0,Omri Casspi ,12.0,SF,0.0,2.0,2.0,NOP,0.667
724,724,1.3,0.607,2.2,0.2,0.2,0.8,0.8,28,0.2,1.1,1.5,0.5,2.9,0.4,0.625,0.6,13,0.0,NBA,17.1,0.5,1.8,Omri Casspi ,3.5,SF,1.0,0.8,1.5,MIN,0.526
725,725,2.0,0.467,4.3,1.4,0.36700000000000005,3.8,4.9,22,0.1,2.3,3.4,0.42,8.1,1.8,0.767,2.4,82,82.0,NBA,32.0,0.5,2.9,Mario Chalmers ,10.0,PG,2.0,2.0,2.8,MIA,0.506
726,726,1.5,0.491,3.0,1.0,0.318,3.2,3.4,23,0.2,1.5,2.5,0.401,6.2,1.1,0.745,1.5,73,22.0,NBA,24.8,0.3,2.4,Mario Chalmers ,7.1,PG,1.2,1.7,1.8,MIA,0.483
727,727,1.0,0.45899999999999996,2.2,1.2,0.359,3.3,2.5,24,0.1,1.9,2.2,0.39899999999999997,5.5,0.8,0.871,0.9,70,28.0,NBA,22.6,0.2,2.3,Mario Chalmers ,6.4,PG,1.1,1.3,2.1,MIA,0.506
728,728,1.9,0.513,3.7,1.6,0.38799999999999996,4.1,3.5,25,0.2,2.4,3.5,0.44799999999999995,7.8,1.3,0.792,1.6,64,64.0,NBA,28.5,0.3,2.6,Mario Chalmers ,9.8,PG,1.5,2.2,2.7,MIA,0.5489999999999999
729,729,1.4,0.456,3.0,1.6,0.409,3.9,3.5,26,0.2,2.0,2.9,0.429,6.9,1.2,0.795,1.5,77,77.0,NBA,26.9,0.2,2.5,Mario Chalmers ,8.6,PG,1.5,1.5,2.2,MIA,0.545
730,730,2.3,0.5,4.6,1.2,0.385,3.1,4.9,27,0.2,2.4,3.5,0.45399999999999996,7.7,1.7,0.742,2.2,73,73.0,NBA,29.8,0.6,2.9,Mario Chalmers ,9.8,PG,1.6,2.2,2.9,MIA,0.531
731,731,2.4,0.467,5.2,0.9,0.294,3.1,3.8,28,0.1,2.3,3.3,0.40299999999999997,8.3,2.6,0.774,3.3,80,37.0,NBA,29.6,0.3,3.1,Mario Chalmers ,10.2,PG,1.5,2.2,2.6,MIA,0.45799999999999996
732,732,2.2,0.461,4.8,0.8,0.309,2.4,3.8,29,0.2,2.2,3.0,0.41,7.3,3.6,0.8320000000000001,4.3,61,7.0,NBA,22.5,0.4,3.0,Mario Chalmers ,10.3,PG,1.4,1.8,2.6,TOT,0.462
733,733,1.5,0.429,3.5,0.2,0.091,1.8,3.2,29,0.2,2.2,1.7,0.313,5.3,2.0,0.9229999999999999,2.2,6,0.0,NBA,20.0,0.2,2.7,Mario Chalmers ,5.5,PG,1.3,1.5,2.3,MIA,0.32799999999999996
734,734,2.3,0.46399999999999997,5.0,0.8,0.326,2.5,3.8,29,0.2,2.2,3.1,0.41700000000000004,7.5,3.7,0.8270000000000001,4.5,55,7.0,NBA,22.8,0.4,3.0,Mario Chalmers ,10.8,PG,1.5,1.8,2.6,MEM,0.47200000000000003
735,735,2.1,0.44299999999999995,4.6,0.7,0.237,3.1,4.0,31,0.1,2.9,2.8,0.361,7.7,2.1,0.784,2.7,19,7.0,NBA,24.8,0.2,3.2,Mario Chalmers ,8.4,PG,1.4,1.8,3.1,MEM,0.408
748,748,2.1,0.608,3.4,0.3,0.33299999999999996,1.0,1.6,22,0.3,1.4,2.4,0.545,4.4,2.2,0.7859999999999999,2.8,15,0.0,NBA,14.3,0.5,0.5,Archie Goodwin ,7.3,SG,0.3,0.9,1.9,TOT,0.583
749,749,0.3,0.33299999999999996,1.0,0.3,0.5,0.7,0.3,22,0.3,0.0,0.7,0.4,1.7,3.3,1.0,3.3,3,0.0,NBA,10.0,0.0,0.3,Archie Goodwin ,5.0,SG,0.0,0.0,0.0,NOP,0.5
750,750,2.5,0.625,4.0,0.3,0.308,1.1,1.9,22,0.3,1.8,2.8,0.557,5.1,1.9,0.7190000000000001,2.7,12,0.0,NBA,15.3,0.6,0.6,Archie Goodwin ,7.9,SG,0.3,1.2,2.3,BRK,0.59
753,753,,,,,,,0.7,22,,,1.6,0.389,4.2,1.2,0.645,1.8,17,,NBA,11.9,,1.3,James Jones ,4.5,SG,,,1.5,TOT,
754,754,,,,,,,0.3,22,,,1.0,0.33299999999999996,3.0,1.2,0.7,1.7,6,,NBA,6.8,,0.5,James Jones ,3.2,SG,,,1.0,PHI,
755,755,,,,,,,0.9,22,,,2.0,0.40700000000000003,4.9,1.2,0.619,1.9,11,,NBA,14.6,,1.7,James Jones ,5.2,SG,,,1.8,CIN,
757,757,0.7,0.423,1.6,0.5,0.315,1.5,3.0,21,0.1,0.8,1.2,0.371,3.1,0.2,0.5710000000000001,0.3,48,3.0,NBA,14.6,0.1,1.0,Kendall Marshall ,3.0,PG,0.5,1.2,0.9,PHO,0.447
758,758,1.8,0.41100000000000003,4.5,1.3,0.39899999999999997,3.3,8.8,22,0.1,2.6,3.1,0.406,7.8,0.4,0.528,0.7,54,45.0,NBA,29.0,0.3,1.4,Kendall Marshall ,8.0,PG,0.9,2.8,2.9,LAL,0.49
759,759,1.0,0.509,2.0,0.6,0.391,1.6,3.1,23,0.0,0.9,1.6,0.455,3.6,0.3,0.889,0.3,28,3.0,NBA,14.9,0.1,0.9,Kendall Marshall ,4.2,PG,0.8,1.3,1.0,MIL,0.545
760,760,0.9,0.391,2.3,0.5,0.327,1.6,2.4,24,0.1,0.9,1.4,0.364,3.9,0.3,0.6920000000000001,0.4,30,6.0,NBA,13.3,0.1,1.0,Kendall Marshall ,3.7,PG,0.5,1.4,0.9,PHI,0.43200000000000005
762,762,0.5,0.55,0.9,0.1,0.182,0.5,1.7,23,0.3,0.9,0.6,0.419,1.4,0.4,0.727,0.5,22,2.0,NBA,8.1,0.2,0.8,Julyan Stone ,1.6,SG,0.4,0.5,1.1,DEN,0.452
763,763,0.5,1.0,0.5,0.0,,0.0,0.5,24,0.0,0.3,0.5,1.0,0.5,0.8,0.75,1.0,4,0.0,NBA,7.0,0.5,1.0,Julyan Stone ,1.8,PG,0.3,0.5,0.8,DEN,1.0
764,764,0.2,0.556,0.4,0.1,0.25,0.4,0.6,25,0.0,0.9,0.3,0.41200000000000003,0.8,0.1,0.667,0.1,21,0.0,NBA,5.7,0.1,0.6,Julyan Stone ,0.9,SG,0.1,0.2,1.0,TOR,0.47100000000000003
765,765,0.0,,0.0,1.0,0.5,2.0,1.0,29,0.0,2.5,1.0,0.5,2.0,0.0,,0.0,2,0.0,NBA,9.0,0.0,1.5,Julyan Stone ,3.0,SG,1.0,1.0,2.5,CHO,0.75
766,766,1.0,0.402,2.6,0.0,0.0,0.1,0.3,21,0.2,1.3,1.0,0.39399999999999996,2.6,0.3,0.667,0.4,38,1.0,NBA,7.4,0.3,0.6,Perry Jones III ,2.3,SF,0.1,0.4,1.6,OKC,0.39399999999999996
767,767,1.0,0.508,1.9,0.4,0.361,1.0,0.4,22,0.3,1.4,1.3,0.45899999999999996,2.9,0.5,0.667,0.7,62,7.0,NBA,12.3,0.5,1.0,Perry Jones III ,3.5,PF,0.2,0.3,1.8,OKC,0.519
768,768,1.4,0.47600000000000003,2.9,0.3,0.233,1.4,0.4,23,0.2,1.6,1.7,0.397,4.3,0.6,0.649,0.9,43,13.0,NBA,14.7,0.1,1.2,Perry Jones III ,4.3,SF,0.4,0.6,1.8,OKC,0.435
770,770,1.2,0.5529999999999999,2.1,0.4,0.303,1.3,0.3,23,0.4,1.4,1.6,0.456,3.4,0.7,0.8420000000000001,0.8,49,0.0,NBA,10.3,0.3,1.0,KJ McDaniels ,4.2,SF,0.4,0.6,1.7,TOT,0.515
771,771,0.8,0.537,1.4,0.3,0.33299999999999996,0.9,0.1,23,0.3,0.8,1.1,0.456,2.3,0.3,0.9,0.3,29,0.0,NBA,7.3,0.2,0.8,KJ McDaniels ,2.8,SF,0.2,0.3,1.0,HOU,0.522
772,772,1.8,0.565,3.1,0.6,0.282,2.0,0.5,23,0.5,2.2,2.3,0.455,5.1,1.2,0.821,1.4,20,0.0,NBA,14.7,0.5,1.3,KJ McDaniels ,6.3,SF,0.6,1.0,2.6,BRK,0.51
775,775,0.6,0.396,1.5,0.3,0.353,1.0,0.6,24,0.3,1.6,0.9,0.379,2.5,0.6,0.909,0.6,35,0.0,NBA,13.5,0.7,1.5,Okaro White ,2.8,PF,0.3,0.5,2.3,MIA,0.44799999999999995
776,776,0.5,0.6,0.8,0.7,0.364,1.8,0.3,25,0.2,1.3,1.2,0.43799999999999994,2.7,0.3,0.667,0.5,6,4.0,NBA,13.3,0.5,1.0,Okaro White ,3.3,PF,0.2,0.2,1.8,MIA,0.563
777,777,0.7,0.395,1.8,0.6,0.406,1.5,1.0,22,0.1,0.5,1.3,0.4,3.3,0.6,0.684,0.9,21,0.0,NBA,8.8,0.2,1.2,Markel Brown ,3.9,PG,0.4,0.6,0.7,POR,0.493
