,Unnamed: 0,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
356,356,0.7,0.483,1.4,0.7,0.27699999999999997,2.3,0.5,19,0.5,1.9,1.3,0.354,3.7,0.1,0.364,0.3,43,0.0,NBA,13.3,0.5,1.7,Dragan Bender ,3.4,PF,0.2,0.7,2.4,PHO,0.441
357,357,0.8,0.425,1.9,1.2,0.382,3.2,0.9,20,0.6,3.3,2.0,0.39799999999999996,5.1,0.6,0.75,0.8,21,0.0,NBA,21.5,0.5,1.6,Dragan Bender ,5.9,PF,0.3,1.2,3.8,PHO,0.519
358,358,0.3,0.25,1.3,0.0,,0.0,0.2,22,0.0,1.5,0.3,0.25,1.3,0.3,0.5,0.7,6,0.0,NBA,3.8,0.3,1.0,Lucas Nogueira ,1.0,C,0.3,0.3,1.8,TOR,0.25
359,359,0.9,0.659,1.4,0.0,0.33299999999999996,0.1,0.2,23,0.4,1.0,1.0,0.636,1.5,0.3,0.5329999999999999,0.5,29,1.0,NBA,7.8,0.6,1.0,Lucas Nogueira ,2.2,C,0.4,0.4,1.6,TOR,0.648
360,360,1.8,0.6940000000000001,2.5,0.1,0.25,0.2,0.7,24,1.6,2.8,1.8,0.66,2.7,0.8,0.657,1.2,57,6.0,NBA,19.1,1.4,2.4,Lucas Nogueira ,4.4,C,0.9,0.8,4.3,TOR,0.67
361,361,1.6,0.7140000000000001,2.2,0.1,0.222,0.6,0.4,25,1.3,2.3,1.7,0.614,2.8,0.4,0.778,0.6,16,2.0,NBA,12.3,0.6,1.5,Lucas Nogueira ,3.9,C,0.6,0.6,2.8,TOR,0.636
362,362,2.8,0.449,6.1,0.0,0.0,0.0,0.8,20,1.1,4.1,2.8,0.446,6.2,1.4,0.636,2.1,62,27.0,NBA,17.8,2.0,3.3,Jusuf Nurkic ,6.9,C,0.8,1.4,6.2,DEN,0.446
363,363,3.2,0.423,7.5,0.0,0.0,0.1,1.3,21,1.4,3.4,3.2,0.41700000000000004,7.6,1.9,0.616,3.1,32,3.0,NBA,17.1,2.0,2.8,Jusuf Nurkic ,8.2,C,0.8,1.7,5.5,DEN,0.41700000000000004
364,364,4.2,0.508,8.2,0.0,0.0,0.0,1.9,22,1.1,4.8,4.2,0.507,8.2,1.8,0.5710000000000001,3.2,65,48.0,NBA,21.4,2.4,2.5,Jusuf Nurkic ,10.2,C,0.8,2.2,7.2,TOT,0.507
365,365,3.4,0.507,6.6,0.0,,0.0,1.3,22,0.8,3.8,3.4,0.507,6.6,1.2,0.496,2.5,45,29.0,NBA,17.9,2.0,2.0,Jusuf Nurkic ,8.0,C,0.6,1.8,5.8,DEN,0.507
366,366,6.0,0.511,11.8,0.0,0.0,0.1,3.2,22,1.9,7.1,6.0,0.508,11.8,3.2,0.66,4.9,20,19.0,NBA,29.2,3.3,3.7,Jusuf Nurkic ,15.2,C,1.3,3.1,10.4,POR,0.508
367,367,6.3,0.466,13.4,0.0,0.0,0.3,2.0,23,1.3,5.8,6.3,0.45799999999999996,13.7,2.7,0.631,4.2,20,20.0,NBA,27.9,1.9,3.1,Jusuf Nurkic ,15.2,C,0.8,3.1,7.7,POR,0.45799999999999996
371,371,2.9,0.5,5.7,0.4,0.385,1.1,1.9,25,0.1,2.7,3.3,0.48100000000000004,6.9,1.3,0.784,1.6,69,13.0,NBA,19.9,0.6,2.0,Lance Stephenson ,8.3,SF,0.6,1.4,3.2,TOT,0.513
372,372,1.5,0.529,2.8,0.4,0.40399999999999997,1.1,1.4,25,0.1,2.1,1.9,0.494,3.9,0.5,0.7,0.7,43,10.0,NBA,15.8,0.4,1.8,Lance Stephenson ,4.7,SF,0.6,1.1,2.5,LAC,0.551
373,373,5.2,0.48700000000000004,10.7,0.4,0.355,1.2,2.8,25,0.2,3.6,5.6,0.474,11.8,2.5,0.815,3.1,26,3.0,NBA,26.6,0.8,2.2,Lance Stephenson ,14.2,SF,0.7,1.8,4.4,MEM,0.49200000000000005
375,375,1.2,0.40399999999999997,3.1,0.3,0.28800000000000003,0.9,2.4,22,0.5,1.8,1.5,0.377,4.0,0.5,0.61,0.8,78,7.0,NBA,17.1,0.3,2.3,Kris Dunn ,3.8,PG,1.0,1.1,2.1,MIN,0.41100000000000003
376,376,3.7,0.40299999999999997,9.2,0.8,0.355,2.2,3.9,23,0.3,3.9,4.5,0.39399999999999996,11.4,0.9,0.75,1.1,14,5.0,NBA,26.4,0.8,3.1,Kris Dunn ,10.6,PG,1.9,3.3,4.7,CHI,0.428
377,377,1.1,0.5329999999999999,2.0,0.4,0.321,1.3,0.5,20,0.0,0.5,1.5,0.452,3.3,0.4,0.8,0.5,22,1.0,NBA,7.5,0.2,0.5,Malik Beasley ,3.8,SG,0.3,0.4,0.8,DEN,0.514
378,378,0.7,0.5,1.4,0.4,0.33299999999999996,1.2,0.5,21,0.0,1.1,1.1,0.426,2.6,0.3,0.556,0.5,18,0.0,NBA,8.2,0.3,0.7,Malik Beasley ,2.9,SG,0.1,0.4,1.4,DEN,0.5
380,380,0.8,0.395,2.1,0.4,0.204,1.9,0.5,20,0.1,0.8,1.2,0.304,3.9,0.6,0.745,0.9,55,6.0,NBA,13.1,0.4,1.3,Gary Harris ,3.4,SG,0.7,0.7,1.2,DEN,0.353
381,381,3.3,0.5429999999999999,6.2,1.4,0.354,3.9,1.9,21,0.2,2.2,4.7,0.469,10.1,1.4,0.82,1.8,76,76.0,NBA,32.1,0.7,1.9,Gary Harris ,12.3,SG,1.3,1.3,2.9,DEN,0.5379999999999999
382,382,3.7,0.5579999999999999,6.7,1.9,0.42,4.5,2.9,22,0.1,2.3,5.6,0.502,11.2,1.8,0.7759999999999999,2.4,57,56.0,NBA,31.3,0.8,1.6,Gary Harris ,14.9,SG,1.2,1.3,3.1,DEN,0.586
383,383,3.2,0.563,5.6,2.4,0.449,5.2,2.6,23,0.4,2.0,5.5,0.508,10.9,0.6,0.733,0.9,17,17.0,NBA,32.3,0.7,2.1,Gary Harris ,14.1,SG,1.9,1.6,2.7,DEN,0.616
384,384,2.2,0.461,4.7,1.8,0.391,4.6,1.5,23,0.1,2.9,4.0,0.426,9.4,0.8,0.8420000000000001,0.9,82,55.0,NBA,23.0,0.4,1.4,Buddy Hield ,10.6,SG,0.5,1.2,3.3,TOT,0.523
385,385,1.7,0.41700000000000004,4.0,1.6,0.369,4.2,1.4,23,0.1,2.6,3.2,0.39299999999999996,8.3,0.5,0.879,0.6,57,37.0,NBA,20.4,0.3,1.4,Buddy Hield ,8.6,SG,0.3,0.8,2.9,NOP,0.48700000000000004
386,386,3.3,0.525,6.3,2.4,0.428,5.5,1.8,23,0.1,3.5,5.7,0.48,11.8,1.4,0.8140000000000001,1.7,25,18.0,NBA,29.1,0.6,1.4,Buddy Hield ,15.1,SG,0.8,2.1,4.1,SAC,0.579
387,387,2.8,0.436,6.5,1.9,0.44,4.4,1.7,24,0.2,3.2,4.8,0.43799999999999994,10.9,0.9,0.8420000000000001,1.1,17,7.0,NBA,23.1,0.8,2.1,Buddy Hield ,12.4,SG,1.2,1.5,4.1,SAC,0.527
389,389,0.3,0.222,1.1,0.3,0.667,0.4,0.0,19,0.1,0.1,0.5,0.33299999999999996,1.5,0.0,,0.0,8,0.0,NBA,2.9,0.1,0.4,Bruno Caboclo ,1.3,SF,0.0,0.5,0.3,TOR,0.41700000000000004
390,390,0.0,0.0,0.8,0.2,0.14300000000000002,1.2,0.2,20,0.2,0.2,0.2,0.083,2.0,0.0,,0.0,6,1.0,NBA,7.2,0.2,0.3,Bruno Caboclo ,0.5,SF,0.3,0.7,0.3,TOR,0.125
391,391,0.4,0.4,1.1,0.2,0.33299999999999996,0.7,0.4,21,0.1,0.6,0.7,0.375,1.8,0.0,,0.0,9,0.0,NBA,4.4,0.6,0.4,Bruno Caboclo ,1.6,SF,0.2,0.2,1.1,TOR,0.43799999999999994
392,392,0.0,,0.0,0.0,0.0,1.0,0.5,22,0.0,0.5,0.0,0.0,1.0,0.0,,0.0,2,0.0,NBA,3.5,0.0,0.5,Bruno Caboclo ,0.0,SF,0.5,0.0,0.5,TOR,0.0
395,395,3.5,0.46399999999999997,7.6,1.3,0.34299999999999997,3.8,2.6,19,0.3,2.1,4.8,0.423,11.4,2.8,0.84,3.4,76,51.0,NBA,27.7,0.4,3.0,Devin Booker ,13.8,SG,0.6,2.1,2.5,PHO,0.48
396,396,5.9,0.447,13.2,1.9,0.363,5.2,3.4,20,0.3,2.6,7.8,0.423,18.3,4.7,0.8320000000000001,5.7,78,78.0,NBA,35.0,0.6,3.1,Devin Booker ,22.1,SG,0.9,3.1,3.2,PHO,0.475
397,397,5.7,0.483,11.7,2.3,0.35700000000000004,6.5,4.2,21,0.3,3.7,8.0,0.43799999999999994,18.2,4.3,0.8690000000000001,5.0,20,20.0,NBA,33.7,0.5,3.1,Devin Booker ,22.5,SG,0.9,3.1,4.2,PHO,0.501
398,398,1.7,0.43700000000000006,3.8,0.0,,0.0,0.7,23,1.5,1.7,1.7,0.43700000000000006,3.8,0.7,0.6559999999999999,1.1,58,18.0,NBA,17.8,1.4,2.5,Ekpe Udoh ,4.1,C,0.4,0.8,3.1,GSW,0.43700000000000006
399,399,2.1,0.433,4.8,0.0,0.0,0.0,0.9,24,1.7,2.5,2.1,0.431,4.8,1.4,0.754,1.9,61,11.0,NBA,21.1,1.6,2.9,Ekpe Udoh ,5.6,C,0.7,0.9,4.2,TOT,0.431
400,400,2.2,0.44299999999999995,4.9,0.0,,0.0,0.8,24,1.7,2.3,2.2,0.44299999999999995,4.9,1.2,0.7190000000000001,1.7,38,6.0,NBA,21.8,1.5,3.0,Ekpe Udoh ,5.5,C,0.7,0.9,3.9,GSW,0.44299999999999995
401,401,2.0,0.41700000000000004,4.7,0.0,0.0,0.1,1.1,24,1.6,2.8,2.0,0.409,4.8,1.7,0.8,2.2,23,5.0,NBA,20.1,1.8,2.6,Ekpe Udoh ,5.7,C,0.7,0.8,4.7,MIL,0.409
402,402,1.5,0.43700000000000006,3.5,0.0,0.0,0.0,0.6,25,1.1,1.8,1.5,0.435,3.5,1.2,0.748,1.6,76,9.0,NBA,17.3,1.5,1.8,Ekpe Udoh ,4.3,C,0.5,0.6,3.3,MIL,0.435
403,403,1.4,0.39899999999999997,3.4,0.0,,0.0,0.7,26,1.0,2.1,1.4,0.39899999999999997,3.4,0.7,0.638,1.1,42,14.0,NBA,19.1,1.5,2.3,Ekpe Udoh ,3.4,PF,0.4,0.9,3.5,MIL,0.39899999999999997
404,404,0.3,0.45799999999999996,0.7,0.0,,0.0,0.2,27,0.2,0.6,0.3,0.45799999999999996,0.7,0.2,0.778,0.3,33,0.0,NBA,3.9,0.2,0.6,Ekpe Udoh ,0.9,PF,0.2,0.2,0.8,LAC,0.45799999999999996
