PLAYER,POS,TEAM,AGE,YRS,DOLLARS,GUARANTEED,% GTD,AVG. SALARY,FREE AGENT
Brice Johnson (2016-2017),PF,LAC,23,2,"$2,605,080.00","$2,605,080.00",100.00%,"$1,302,540.00",2020
Jake Layman (2016-2018),SF,POR,23,3,"$2,555,511.00","$2,555,511.00",100.00%,"$851,837.00",2019
Joel Bolomboy (2016-2016),PF,UTH,23,3,"$2,555,511.00","$1,052,625.00",41.19%,"$851,837.00",2019
Norman Powell (2015-2017),SG,TOR,24,3,"$2,539,382.00","$1,524,636.00",60.04%,"$846,461.00",2018
Pat Connaughton (2015-2017),SG,POR,24,3,"$2,514,475.00","$2,514,475.00",100.00%,"$838,158.00",2018
Randy Foye (2016-2016),SG,BKN,34,1,"$2,500,000.00","$2,500,000.00",100.00%,"$2,500,000.00",2017
Rodney McGruder (2016-2018),SG,MIA,26,3,"$2,498,982.00","$543,471.00",21.75%,"$832,994.00",2019
Semaj Christon (2016-2018),PG,OKC,24,3,"$2,498,982.00","$543,471.00",21.75%,"$832,994.00",2019
Cheick Diallo (2016-2018),C,NOP,21,3,"$2,498,982.00","$1,948,720.00",77.98%,"$832,994.00",2019
Chinanu Onuaku (2016-2018),C,HOU,20,3,"$2,498,982.00","$2,498,982.00",100.00%,"$832,994.00",2019
Kay Felder (2016-2018),PG,CLE,22,3,"$2,498,982.00","$1,000,000.00",40.02%,"$832,994.00",2019
Daniel Ochefu (2016-2018),SF,WAS,23,3,"$2,498,982.00","$593,471.00",23.75%,"$832,994.00",2019
Nicolas Brussino (2016-2018),PG,ATLSigned w/DAL,24,3,"$2,498,982.00","$1,856,082.00",74.27%,"$832,994.00",2019
Dorian Finney-Smith (2016-2018),SF,DAL,24,3,"$2,498,982.00","$543,471.00",21.75%,"$832,994.00",2019
Damian Jones (2016-2017),C,GSW,22,2,"$2,484,171.00","$2,484,171.00",100.00%,"$1,242,086.00",2020
Pascal Siakam (2016-2019),PF,TOR,23,2,"$2,445,960.00","$2,445,960.00",100.00%,"$1,222,980.00",2020
